Name,books,awards,poems,span,translations,impact,gender
0n0yya (మహాకవి),1,0,5000,50,15.0,99.0,M
Tikka0 (శ్రీనాథుడు),2,0,8000,60,12.0,98.0,M
Yerrapragada (ఎఱ్ఱాప్రగడ),1,0,3000,45,8.0,97.0,M
An0macharya (తాలపాక),0,0,32000,94,25.0,100.0,M
Pota0 (భక్తి పోతన),1,0,12000,65,20.0,99.0,M
Pingali Suran0,3,0,2500,55,10.0,95.0,M
Molla (మొల్ల),1,0,1500,90,18.0,98.0,F
Tallapaka Timmakka,0,0,8000,75,12.0,96.0,F
Tarigonda Vengamamba,1,0,10000,70,15.0,97.0,F
Muddupalani,1,0,2000,60,10.0,94.0,F
Viswa0tha Satya0raya0,120,3,4500,81,35.0,100.0,M
C. 0raya0 Reddy,75,5,8000,70,28.0,98.0,M
Rayaprolu Subba Rao,12,2,3500,92,18.0,96.0,M
Devulapalli Krish0sastri,35,3,6500,65,22.0,97.0,M
Kandukuri Veeresalingam,65,1,1800,75,28.0,97.0,M
Tripuraneni Gopichand,22,1,1800,45,15.0,92.0,M
Kodavatiganti Kutumbarao,45,1,900,70,18.0,91.0,M
Malladi Venkata Krish0 Murthy,153,1,3000,65,22.0,94.0,M
Kaloji 0raya0 Rao,20,4,4500,85,20.0,96.0,M
Gurram Jashuva,15,1,2800,55,12.0,95.0,M
Potturi Vijayalakshmi,35,1,2500,60,18.0,92.0,F
Bhandaru Acchamamba,12,1,1800,70,12.0,90.0,F
Yadda0pudi Sulocha0 Rani,92,1,200,55,40.0,95.0,F
Ranga0yakamma,85,2,500,60,25.0,93.0,F
Chalam,25,1,1200,70,20.0,92.0,M
Sri Sri,28,2,8500,68,25.0,99.0,M
Volga (P. Lalita Kumari),18,3,1500,50,30.0,94.0,F
Gogu Shyamala,12,2,800,45,25.0,92.0,F
Kanchala Anjaneya Prasad,68,2,3200,55,25.0,93.0,M
Aarudra,25,1,0,45,15.0,88.0,M
Adivi Bapiraju,18,1,900,50,12.0,87.0,M
Gurajada Apparao,5,1,1800,45,20.0,95.0,M
Balagangadhara Tilak,12,2,2000,60,18.0,90.0,M
Bhargavi Rao,28,1,600,52,22.0,88.0,F
Daasarathi,15,1,3200,50,18.0,91.0,M
Duggirala Gopalakrish0yya,20,1,2800,55,15.0,89.0,M
Pura0m Subrahmanya Sastry,5,0,15000,70,12.0,96.0,M
K. Varalakshmi,28,2,2200,58,18.0,92.0,F
Seethadevi Vasireddy,45,2,1500,62,25.0,93.0,F
Sirivennela Seetharama Sastry,5,2,8000,45,30.0,97.0,M
Veturi Sundararama Murthy,3,2,12000,50,35.0,96.0,M
Te0li Ramakrish0,2,0,1800,40,8.0,94.0,M
Chemakura Venkata Kavi,1,0,4500,50,7.0,93.0,M
Vema0,0,0,3000,60,18.0,98.0,M
Bulusu Appa0 Sastry,18,1,2500,70,15.0,90.0,M
Chandrabose,10,3,5000,45,25.0,92.0,M
Garikapati 0rasimha Rao,35,2,4500,60,20.0,92.0,M
Islamia Aqram,15,1,4200,55,18.0,92.0,M
Ja0rdha0 Maharshi,12,1,1800,50,12.0,87.0,M
Kava0 Sarma,15,0,2200,45,10.0,86.0,M
Kesava Reddy,28,1,1500,55,15.0,88.0,M
Makhdoom Mohiuddin,8,1,3800,40,18.0,93.0,M
Papineni Sivasankar,22,1,1200,50,14.0,87.0,M
Perala Bharata Sarma,15,1,2000,60,12.0,88.0,M
Satya Vrat Shastri,45,2,3000,80,35.0,95.0,M
Ampasayya 0veen,28,1,2200,50,22.0,91.0,M
Nellutla Ramadevi,35,1,1800,55,20.0,90.0,F
Asavadi Prakasarao,15,1,1100,50,12.0,85.0,M
